InspectionType	ViolationDescription	RiskCategory
Routine - Unscheduled	Moderate risk food holding temperature	Moderate Risk
Routine - Unscheduled	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Routine - Unscheduled	Unapproved or unmaintained equipment or utensils	Low Risk
New Ownership		
Routine - Unscheduled	Unclean or degraded floors walls or ceilings	Low Risk
Routine - Unscheduled	Unclean hands or improper use of gloves	High Risk
Reinspection/Followup	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Routine - Unscheduled	Unclean or degraded floors walls or ceilings	Low Risk
Routine - Unscheduled	Unapproved or unmaintained equipment or utensils	Low Risk
Reinspection/Followup		
Non-inspection site visit		
Routine - Unscheduled	Foods not protected from contamination	Moderate Risk
Reinspection/Followup		
Routine - Unscheduled		
Routine - Unscheduled	Moderate risk vermin infestation	Moderate Risk
New Ownership		
Routine - Unscheduled	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Non-inspection site visit		
Routine - Unscheduled	Permit license or inspection report not posted	Low Risk
Routine - Unscheduled	Unclean or unsanitary food contact surfaces	High Risk
Routine - Unscheduled	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Reinspection/Followup		
Routine - Unscheduled	Unclean or degraded floors walls or ceilings	Low Risk
Complaint	Improper cooling methods	High Risk
Routine - Unscheduled	Moderate risk food holding temperature	Moderate Risk
New Ownership - Followup		
Routine - Unscheduled	Improper or defective plumbing	Low Risk
Complaint	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
New Ownership	Moderate risk vermin infestation	Moderate Risk
Reinspection/Followup		
Routine - Unscheduled	Improper storage of equipment utensils or linens	Low Risk
Routine - Unscheduled	Unapproved or unmaintained equipment or utensils	Low Risk
New Ownership	Improper cooling methods	High Risk
Routine - Unscheduled	Low risk vermin infestation	Low Risk
Routine - Unscheduled	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Routine - Unscheduled	Employee eating or smoking	Moderate Risk
Routine - Unscheduled	Improper thawing methods	Moderate Risk
Routine - Unscheduled	Unclean or degraded floors walls or ceilings	Low Risk
New Ownership		
Routine - Unscheduled	Unapproved or unmaintained equipment or utensils	Low Risk
Structural Inspection		
Routine - Unscheduled	Low risk vermin infestation	Low Risk
Routine - Unscheduled	Noncompliance with HAACP plan or variance	Moderate Risk
Reinspection/Followup		
Routine - Unscheduled	Insufficient hot water or running water	Moderate Risk
Reinspection/Followup		
Complaint	Moderate risk vermin infestation	Moderate Risk
Routine - Unscheduled	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Routine - Unscheduled		
Reinspection/Followup		
Complaint	High risk vermin infestation	High Risk
Routine - Unscheduled	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Routine - Unscheduled		
Routine - Unscheduled	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Routine - Unscheduled	Improper storage of equipment utensils or linens	Low Risk
Complaint	Unclean nonfood contact surfaces	Low Risk
Routine - Unscheduled	Moderate risk vermin infestation	Moderate Risk
Routine - Unscheduled	Inadequate and inaccessible handwashing facilities	Moderate Risk
Routine - Unscheduled	Moderate risk vermin infestation	Moderate Risk
New Ownership		
Reinspection/Followup		
Routine - Unscheduled	Inadequate and inaccessible handwashing facilities	Moderate Risk
